GivenName,Surname,City,StreetAddress,CountryFull,Birthday,Age,TelephoneNumber,NationalID
Corinna,Schiavone,Civitacampomarano,"Via degli Aldobrandeschi 38",Italy,8/27/1999,22,"0377 7163043",IL53100180
Gianna,Cremonesi,Veleso,"Viale Ippocrate 99",Italy,4/16/1982,39,"0375 8225832",UN51498534
Serena,Lettiere,"Serravalle Di Bibbiena","Via del Caggio 133",Italy,10/13/1991,30,"0393 8497702",WH40098640
Ave,"Lo Duca","Acquanegra Cremonese","Via Alfredo Fusco 43",Italy,7/5/1949,72,"0334 1275646",WH70338149
Carolina,Marino,Govone,"Via Bernardino Rota 107",Italy,12/30/1981,39,"0313 0392885",KH25266273
Antonino,Greece,Tartano,"Strada Bresciana 81",Italy,6/29/1931,90,"0385 1483874",JW95515243
Pia,Romani,Tonara,"Via Croce Rossa 118",Italy,6/17/1948,73,"0379 2283689",YM43542275
Violante,Pugliesi,Serrazzone,"Via Giacinto Gigante 113",Italy,6/22/1963,58,"0343 3835584",TC73880001
Stefano,Trentini,"Gagliano Castelferrato","Via Vico Ferrovia 132",Italy,9/18/1983,38,"0317 7358607",BO4560156
Virgilia,Greece,"Palazzo D'Assisi","Via Tasso 76",Italy,5/15/1944,77,"0320 9134195",BY22737076
Bellina,Iadanza,Gratacasolo,"Largo Febo 115",Italy,3/1/1944,77,"0320 3506566",QN78234912
Siro,Lucciano,"Pira Maseda","Corso Novara 127",Italy,5/30/2004,17,"0311 3955892",DC4396028
Nicola,Gallo,"Marina Di Castellaneta","Strada Bresciana 94",Italy,6/14/1984,37,"0350 5799610",KA3464426
Merigo,Pagnotto,"Aci Sant'Antonio","Via Varrone 98",Italy,7/16/1959,62,"0375 7806364",JI71105544
Efisio,Marcelo,"Sesto Ed Uniti","Via Giovanni Amendola 60",Italy,12/5/1999,21,"0352 6467012",GU7616052
Guglielma,Piazza,"Vallelunga Pratameno","Via degli Aldobrandeschi 150",Italy,9/26/1982,39,"0363 2613301",FC62196556
Marilena,Colombo,Ceregnano,"Via Galvani 126",Italy,6/9/1998,23,"0342 1883847",ZK16244529
Aleandro,Loggia,Venco,"Via Medina 81",Italy,3/6/1930,91,"0368 1315855",ZQ16365296
Rebecca,Beneventi,"Poggio Murella","Corso Vittorio Emanuele 149",Italy,7/18/2005,16,"0326 4357514",BN12780027
Eufrosina,Dellucci,Palermo,"Via Genova 36",Italy,2/10/1944,77,"0325 3775025",RF78735530
Ferdinanda,Trentini,Valfurva,"Strada Bresciana 51",Italy,5/2/1991,30,"0323 4570644",PE97423276
Fulgenzio,Zetticci,Massignano,"Via Loreto 45",Italy,2/17/1998,23,"0337 9731945",CV97003823
Elsa,Buccho,"San Martino Di Campagna","Via Miguel de Cervantes 11",Italy,8/15/1995,26,"0358 4503208",NF6598637
Dora,Mazzi,"Romano D'Ezzelino","Via del Carmine 84",Italy,1/20/1979,42,"0355 7903744",SN64607824
Adalgisio,Conti,Oncino,"Piazza Trieste e Trento 6",Italy,12/7/1955,65,"0323 4379908",JB53860422
Marzia,Russo,Roverino,"Via Firenze 4",Italy,7/13/1943,78,"0387 4625315",ID64856808
Gianfranco,Angelo,"Virle Piemonte","Via del Pontiere 104",Italy,5/26/1994,27,"0348 7164611",EO11790986
Elena,Giordano,Dragonea,"Via Rosmini 42",Italy,8/15/1940,81,"0344 9171106",GN47355987
Giuseppa,DeRose,Irsina,"Via Pasquale Scura 112",Italy,6/8/1996,25,"0376 7913049",SO33486104
Belinda,Manna,Palazzolo,"Via Giotto 75",Italy,6/30/1966,55,"0381 0318658",QZ25397657
Quirino,Sagese,Montagna,"Via San Domenico 51",Italy,12/31/1987,33,"0354 0418070",EJ37923931
Lavinia,Ricci,"Cuasso Al Monte","Via Corio 94",Italy,5/25/1944,77,"0310 3531469",EP91678113
Chiaffredo,Udinesi,Cumia,"Via San Domenico Soriano 13",Italy,10/6/1950,71,"0320 9447110",OM49656993
Alberica,Lucchese,"San Michele Dei Mucchietti","Via Giacinto Gigante 63",Italy,7/22/1943,78,"0331 1656983",HS89134233
Violetta,Endrizzi,Pedona,"Via Melisurgo 117",Italy,5/30/2004,17,"0318 5417266",XJ34684948
Andrea,Trevisani,Gandellino,"Via Giulio Petroni 116",Italy,6/17/1989,32,"0389 0676349",BW61797123
Ivo,Russo,"San Giovanni Di Querciola","Corso Porta Nuova 102",Italy,8/16/1935,86,"0384 5010304",CF62885273
Delfio,Trevisano,Lissone,"Via Nazario Sauro 100",Italy,6/25/1945,76,"0350 9542700",SV54166863
Teodata,Mancini,Orte,"Via Lagrange 137",Italy,4/16/1941,80,"0373 0618954",JV49733470
Alessio,Mancini,Lu,"Via delle Azalee 117",Italy,12/14/1950,70,"0320 2281938",YN26859756
Diego,Buccho,"Sas Linnas Siccas","Via Croce Rossa 27",Italy,2/13/1971,50,"0363 4328123",BF68020810
Ciro,Esposito,Nicola,"Via Nolana 31",Italy,1/23/1955,66,"0328 2331755",SB92614885
Nicodemo,Pinto,Busso,"Via degli Aldobrandeschi 52",Italy,10/19/1989,32,"0367 8482940",RQ25994415
Siro,Davide,PiKolein,"Via di Santa Melania 66",Italy,5/1/2011,10,"0375 1530480",KK61738528
Brunilde,Genovese,"Niella Tanaro","Piazza Trieste e Trento 13",Italy,2/15/1964,57,"0351 3017515",PH91369747
Dalia,Mazzanti,"Sorbo San Basile","Via Piave 67",Italy,6/25/1971,50,"0351 0636198",SY63599969
Manuel,Lombardo,Cortile,"Piazza Bovio 149",Italy,10/11/1994,27,"0374 8164758",PJ38022530
Astolfo,Lettiere,Chieuti,"Via Nuova Agnano 7",Italy,7/26/1951,70,"0344 9932278",GC45470100
Santina,Trevisan,"Montefalcone Appennino","Via Loreto 47",Italy,11/29/1962,58,"0363 5350573",YY99184719
Facondo,Napolitano,Calavorno,"Via Bologna 42",Italy,10/6/1954,67,"0326 4011907",ZU71595264
Lucia,Lucchesi,"San Giacomo D'Acri","Via Venezia 61",Italy,2/19/1969,52,"0319 8561861",XU29479528
Alessandra,Esposito,Capitone,"Stradone Antonio Provolo 85",Italy,7/2/1965,56,"0313 9793214",RF29938663
Noemi,Greco,Alteta,"Via del Caggio 3",Italy,5/24/1963,58,"0322 5606706",YS76376372
Emilio,Fiorentini,"Lugnano Citta' Di Castello","Via Santa Lucia 100",Italy,4/27/1956,65,"0311 8972987",MQ72980085
Patrizio,Marino,"Piano Di Sorrento","Via dei Fiorentini 114",Italy,10/31/1931,90,"0389 2126721",SR29717957
Ivan,Lucciano,Sormano,"Viale Ippocrate 69",Italy,2/10/1982,39,"0352 3294258",KV1613150
Nazzareno,Toscano,"San Marco In Lamis","Via Foria 48",Italy,12/6/2001,19,"0394 1292109",PI99411118
Cassandra,Pirozzi,Lasa,"Via San Domenico 44",Italy,5/19/1941,80,"0322 3974515",NM59851271
Orsola,Angelo,"Monte Marenzo","Piazza Pilastri 28",Italy,5/7/1958,63,"0346 1767258",BI84930964
Olimpia,Piazza,Poggiorsini,"Corso Alcide De Gasperi 51",Italy,9/3/1951,70,"0389 3296468",ED41643329
Ladislao,Mancini,"Motta D'Affermo","Via Nuova del Campo 7",Italy,10/30/1933,88,"0340 5671934",PA79122700
Ramiro,Castiglione,"Mercatale Di Cortona","Via del Caggio 33",Italy,12/4/1985,35,"0339 1897540",UD89923675
